data/metrics/CGND-HRA-01288-2	100554238
data/metrics/CGND-HRA-00257-2	105562000
data/metrics/CGND-HRA-00278-2	88225478
data/metrics/CGND-HRA-00591-2	82331600
data/metrics/CGND-HRA-01288-2	100554238
data/metrics/CGND-HRA-01351-2	94427296
data/metrics/CGND-HRA-01368-2	104484606
data/metrics/CGND-HRA-00440	60096839
data/metrics/CGND-HRA-00441	86694474
data/metrics/CGND-HRA-00442	59769062
data/metrics/CGND-HRA-00443	84840138
data/metrics/CGND-HRA-00444	62662924
data/metrics/CGND-HRA-00445	75251346
data/metrics/CGND-HRA-00446	60478147
data/metrics/CGND-HRA-00447	64133194
data/metrics/CGND-HRA-00448	61665489
data/metrics/CGND-HRA-00449	61123507
data/metrics/CGND-HRA-00450	71331186
data/metrics/CGND-HRA-00451	71432490
data/metrics/CGND-HRA-00452	65371130
data/metrics/CGND-HRA-00453	82540066
data/metrics/CGND-HRA-00454	87326121
data/metrics/CGND-HRA-00455	75790436
data/metrics/CGND-HRA-00456	77509888
data/metrics/CGND-HRA-00457	93081766
data/metrics/CGND-HRA-00458	41097180
data/metrics/CGND-HRA-00459	46522973
data/metrics/CGND-HRA-00013	101483464
data/metrics/CGND-HRA-00015	79373468
data/metrics/CGND-HRA-00017	89988872
data/metrics/CGND-HRA-00018	49904102
data/metrics/CGND-HRA-00019	79040144
data/metrics/CGND-HRA-00022	85938629
data/metrics/CGND-HRA-00027	89008447
data/metrics/CGND-HRA-00028	90863668
data/metrics/CGND-HRA-00029	95928213
data/metrics/CGND-HRA-00031	56579706
data/metrics/CGND-HRA-00032	84907885
data/metrics/CGND-HRA-00034	113882856
data/metrics/CGND-HRA-00036	93202512
data/metrics/CGND-HRA-00041	111403174
data/metrics/CGND-HRA-00042	70406858
data/metrics/CGND-HRA-00043	86225796
data/metrics/CGND-HRA-00045	68380527
data/metrics/CGND-HRA-00046	123240857
data/metrics/CGND-HRA-00047	125205449
data/metrics/CGND-HRA-00048	103763964
data/metrics/CGND-HRA-00050	74202833
data/metrics/CGND-HRA-00055	118007193
data/metrics/CGND-HRA-00056	85612819
data/metrics/CGND-HRA-00057	78128509
data/metrics/CGND-HRA-00059	79131560
data/metrics/CGND-HRA-00060	97928884
data/metrics/CGND-HRA-00061	96441148
data/metrics/CGND-HRA-00062	112572817
data/metrics/CGND-HRA-00064	92063558
data/metrics/CGND-HRA-00069	88076402
data/metrics/CGND-HRA-00070	52948661
data/metrics/CGND-HRA-00071	219704667
data/metrics/CGND-HRA-00073	100701791
data/metrics/CGND-HRA-00074	115641509
data/metrics/CGND-HRA-00075	132388850
data/metrics/CGND-HRA-00076	86283250
data/metrics/CGND-HRA-00078	60719734
